threshold,tp,tn,fp,fn,accuracy,balanced_accuracy,answer_precision,answer_recall,answer_f1,refusal_precision,refusal_recall,unsafe_accept_rate,false_refusal_rate
0.0,16,0,10,0,0.6154,0.5,0.6154,1.0,0.7619,1.0,0.0,1.0,0.0
0.4,16,0,10,0,0.6154,0.5,0.6154,1.0,0.7619,1.0,0.0,1.0,0.0
0.41,16,0,10,0,0.6154,0.5,0.6154,1.0,0.7619,1.0,0.0,1.0,0.0
0.42,16,0,10,0,0.6154,0.5,0.6154,1.0,0.7619,1.0,0.0,1.0,0.0
0.43,16,0,10,0,0.6154,0.5,0.6154,1.0,0.7619,1.0,0.0,1.0,0.0
0.44,16,0,10,0,0.6154,0.5,0.6154,1.0,0.7619,1.0,0.0,1.0,0.0
0.45,16,0,10,0,0.6154,0.5,0.6154,1.0,0.7619,1.0,0.0,1.0,0.0
0.46,16,0,10,0,0.6154,0.5,0.6154,1.0,0.7619,1.0,0.0,1.0,0.0
0.47,16,0,10,0,0.6154,0.5,0.6154,1.0,0.7619,1.0,0.0,1.0,0.0
0.48,16,0,10,0,0.6154,0.5,0.6154,1.0,0.7619,1.0,0.0,1.0,0.0
0.49,16,0,10,0,0.6154,0.5,0.6154,1.0,0.7619,1.0,0.0,1.0,0.0
0.5,16,0,10,0,0.6154,0.5,0.6154,1.0,0.7619,1.0,0.0,1.0,0.0
0.51,16,0,10,0,0.6154,0.5,0.6154,1.0,0.7619,1.0,0.0,1.0,0.0
0.52,16,0,10,0,0.6154,0.5,0.6154,1.0,0.7619,1.0,0.0,1.0,0.0
0.53,16,0,10,0,0.6154,0.5,0.6154,1.0,0.7619,1.0,0.0,1.0,0.0
0.54,16,0,10,0,0.6154,0.5,0.6154,1.0,0.7619,1.0,0.0,1.0,0.0
0.5436,16,0,10,0,0.6154,0.5,0.6154,1.0,0.7619,1.0,0.0,1.0,0.0
0.55,16,1,9,0,0.6538,0.55,0.64,1.0,0.7805,1.0,0.1,0.9,0.0
0.56,16,1,9,0,0.6538,0.55,0.64,1.0,0.7805,1.0,0.1,0.9,0.0
0.57,16,1,9,0,0.6538,0.55,0.64,1.0,0.7805,1.0,0.1,0.9,0.0
0.574,16,1,9,0,0.6538,0.55,0.64,1.0,0.7805,1.0,0.1,0.9,0.0
0.58,16,1,9,0,0.6538,0.55,0.64,1.0,0.7805,1.0,0.1,0.9,0.0
0.59,16,1,9,0,0.6538,0.55,0.64,1.0,0.7805,1.0,0.1,0.9,0.0
0.6,16,1,9,0,0.6538,0.55,0.64,1.0,0.7805,1.0,0.1,0.9,0.0
0.6044,16,1,9,0,0.6538,0.55,0.64,1.0,0.7805,1.0,0.1,0.9,0.0
0.6056,16,2,8,0,0.6923,0.6,0.6667,1.0,0.8,1.0,0.2,0.8,0.0
